restaurant_name,image_url,rating,cuisine,location,delivery_time
Chinese Wok,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/e0839ff574213e6f35b3899ebf1fc597",4.4,"Chinese, Asian, Tibetan, Desserts",Malleshwaram,40-45 mins
Five Star Chicken,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/b24300adf6b00a86abe50bb4a09a4230",4.4,Burgers,Majestic,25-30 mins
Subway,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/RX_THUMBNAIL/IMAGES/VENDOR/2024/8/2/6e024401-e534-45e7-9405-7a0bc5bd8374_1452.jpg",4.3,"Salads, Snacks, Desserts, Beverages",Basavanagudi,20-25 mins
Pizza Hut,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/RX_THUMBNAIL/IMAGES/VENDOR/2024/7/16/b7a44079-4da0-44f4-95c8-5e5f58b7a082_10892.jpg",4.1,Pizzas,Basavanagudi,25-30 mins
Nandhana Palace,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/195876a3181ef63f76e45e3a7b49b585",4.4,"Biryani, Andhra, South Indian, North Indian",Rajajinagar,35-40 mins
Corner House Ice Cream,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/buegmmozfa6tbzb9ehka",4.7,"Ice Cream, Desserts",Basavanagudi,20-25 mins
Great Indian Khichdi by EatFit,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/6e44fd7f1e5cd9967edfe47c10247671",4.6,"Home Food, Indian, North Indian, Healthy Food, Snacks, Desserts, Rajasthani, South Indian, Maharashtrian, Sweets",Vasanth Nagar,30-35 mins
Dum Safar Biryani,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/adbdb21826ddaf4174418e993acc70c9",3.9,"Biryani, Kebabs, Tandoor, Indian, Desserts",RAJAJI NAGAR,40-45 mins
Grameen Kulfi,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/nrhjfqoukhknm4p29om3",4.8,"Ice Cream, Desserts",Rajajinagar,30-35 mins
Wow! China,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/95982cfa57cb3b7e504f2015c375fd55",3.9,"Tibetan, Chinese, Asian, Snacks, Continental, Desserts, Beverages",Shantinagar,30-35 mins
MOJO Pizza - 2X Toppings,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/RX_THUMBNAIL/IMAGES/VENDOR/2024/6/24/1c21e4ed-37c9-45b2-9788-1fee96413482_622161.JPG",4.4,"Pizzas, Italian, Fast Food, Desserts",Basavanagudi,15-25 mins
Daily Kitchen - Homely Meals,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/RX_THUMBNAIL/IMAGES/VENDOR/2024/5/19/741d7d41-1341-4358-b6e0-cc22b8e82f9a_750356.JPG",4.3,"Home Food, Indian, North Indian, Thalis",VV Puram,15-25 mins
The Pizza Bakery - Wood Fired Sourdough,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/0335dd45be555d0a4187255e57d2ca88",4.6,"Pizzas, Pastas, Italian, Desserts, Continental",Central Bangalore,35-40 mins
Shiv Sagar Signature,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/75c49a5d43681cb2406227ae82f6c781",4.5,South Indian,Basavanagudi,30-35 mins
Truffles,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/cd832b6167eb9f88aeb1ccdebf38d942",4.6,"American, Desserts, Continental, Italian",St. Marks Road,35-40 mins
KFC,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/RX_THUMBNAIL/IMAGES/VENDOR/2024/4/17/283329f9-5ad8-4c46-9177-6b23b6eb2966_17301.JPG",4.3,"Burgers, Fast Food, Rolls & Wraps",Basavanagudi,20-25 mins
McDonald's,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/RX_THUMBNAIL/IMAGES/VENDOR/2024/4/1/3770fd3f-18e3-4a61-b8df-8a36fd7d5887_457522.jpg",4.5,"Burgers, Beverages, Cafe, Desserts",Basavanagudi,20-25 mins
La Pino'z Pizza,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/mocil3npmwpcdcfaxql1",4.3,"Pizzas, Pastas, Italian, Desserts, Beverages",Basavanagudi,20-25 mins
Burger King,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/RX_THUMBNAIL/IMAGES/VENDOR/2024/6/11/4ee8bc77-ca9f-41bd-a0f3-511c70902b91_77949.JPG",4.3,"Burgers, American",Basavanagudi,20-25 mins
Domino's Pizza,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/d0450ce1a6ba19ea60cd724471ed54a8",4.4,"Pizzas, Italian, Pastas, Desserts",Basavanagudi,20-25 mins
Cafe Amudham,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/e76fc212e4d3f5baf2119e1642463380",4.7,"South Indian, Snacks",Majestic,25-30 mins
Theobroma,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/RX_THUMBNAIL/IMAGES/VENDOR/2024/7/22/ab4cf213-bee8-45ba-9b80-2607d981885f_426730.jpg",4.7,"Desserts, Bakery, Beverages",Ashok Nagar,30-35 mins
Bakingo,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/RX_THUMBNAIL/IMAGES/VENDOR/2024/8/5/4116f512-3b8d-4148-9f29-bfff041dca14_570511.JPG",4.6,"Bakery, Desserts, Beverages, Snacks",Vasanth Nagar,35-40 mins
Chowman,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/ee11c6725be7e634e8f8fc2bde6308b0",4.5,"Chinese, Beverages",Koramangala,30-35 mins
Haldirams Restaurant & Sweets,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/1abb89624b491497c8cff182d95ac457",4.3,"North Indian, South Indian, Biryani, Chinese, Chaat, Thalis, Bakery, Sweets, Beverages, Desserts, Snacks, Continental, Momos, Pastas, Burgers",Basavanagudi,20-25 mins
Ayodhya Upachar,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/74914b1ea91d2c6b1ddce5db6ce8759f",4.5,"South Indian, North Indian, Chinese, Ice Cream, Chaat",Banashankari,30-35 mins
Baskin Robbins - Ice Cream Desserts,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/85ccae4e3576f9330af102c46ca85395",4.3,"Desserts, Ice Cream",Vijay Nagar,35-40 mins
Cheesecake & Co.,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/RX_THUMBNAIL/IMAGES/VENDOR/2024/7/18/b1e64c1a-aca1-41c2-910c-e4226b429f43_924311.jpg",4.6,"Desserts, Bakery, Beverages",Banashankari,25-30 mins
